tab 	sites
age	age_sigma	age_unit	citations	conglomerate_test	contact_test	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
1080		Years AD (+/-)	This study	ND	ND	DE-SITE	VGP: Site sv32, Site VGP.	3.9	342.9	60.3	384.1	5					4.9896	0			35.3708		San Francisco Volcanics	248.4607	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv32	sv32b1 : sv32c1 : sv32d1 : sv32e1:sv32a1	6.4	3.9	75.4	187.2	5
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.3508	Basalt	San Francisco Volcanics	247.5926	FS-LOC-GPS:SO-SM:FS-FD			sv50						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	180	266.8	-40.9	1.4	3	2	1		t	1.9606	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv50	sv50d3 : sv50j1:sv50a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.3108	Basalt	San Francisco Volcanics	247.626	FS-LOC-GPS:SO-SM:FS-FD			sv51						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	84.3	207.2	-39.4	2.2	4	4	0		r	2.6222	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv51	sv51e1 : sv51j1 : sv51k2:sv51a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2211	Basalt	San Francisco Volcanics	247.7281	FS-LOC-GPS:SO-SM:FS-FD			sv52						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	6.5	182.7	-54.9	199.4	4	4	0		r	3.985	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv52	sv52c1 : sv52g1 : sv52j1:sv52a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2221	Basalt	San Francisco Volcanics	247.7461	FS-LOC-GPS:SO-SM:FS-FD			sv53						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	86.4	178	-26.5	3.1	3	3	0		r	2.3622	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv53	sv53i1 : sv53j1:sv53b1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.3002	Basalt	San Francisco Volcanics	247.7293	FS-LOC-GPS:SO-SM:FS-FD			sv54						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	14.1	175.3	-46.7	30.4	5	5	0		r	4.8684	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv54	sv54d1 : sv54h1 : sv54i1 : sv54k1:sv54c1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.3195	Basalt	San Francisco Volcanics	247.8202	FS-LOC-GPS:SO-SM:FS-FD			sv55						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	4.5	181.2	-45	409.3	4	4	0		r	3.9927	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv55	sv55d2 : sv55h1 : sv55j1:sv55a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.3417	Basalt	San Francisco Volcanics	247.8424	FS-LOC-GPS:SO-SM:FS-FD			sv56						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	50.1	171.1	-68.8	3.3	5	4	1		r	3.9527	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv56	sv56c1 : sv56d2 : sv56e1 : sv56h1:sv56a2					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.26	Basalt	San Francisco Volcanics	247.7564	FS-LOC-GPS:SO-SM:FS-FD			sv57						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	17.8	199.6	-46.4	19.5	5	5	0		r	4.795	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv57	sv57c1 : sv57d1 : sv57k1 : sv57l2:sv57a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2603	Basalt	San Francisco Volcanics	247.7564	FS-LOC-GPS:SO-SM:FS-FD			sv58						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	3.9	182	-62.3	569.7	4	4	0		r	3.9947	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv58	sv58d1 : sv58g1 : sv58k1:sv58a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2542	Basalt	San Francisco Volcanics	247.9934	FS-LOC-GPS:SO-SM:FS-FD			sv59						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	2.7	178.8	-51.3	1128.1	4	4	0		r	3.9973	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv59	sv59f1 : sv59g1 : sv59j1:sv59a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2535	Basalt	San Francisco Volcanics	248.0864	FS-LOC-GPS:SO-SM:FS-FD			sv60						
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2031	Basalt	San Francisco Volcanics	248.2362	FS-LOC-GPS:SO-SM:FS-FD			sv61						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	39.5	2.9	77.8	7	4	3	1			3.6408	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv61	sv61c1 : sv61g1 : sv61i1:sv61a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2078	Basalt	San Francisco Volcanics	248.2294	FS-LOC-GPS:SO-SM:FS-FD			sv62						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	38.3	133.7	-52.3	308.4	3	0	3		r	2.9984	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv62	sv62d1 : sv62g1:sv62b1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2582	Basalt	San Francisco Volcanics	247.9165	FS-LOC-GPS:SO-SM:FS-FD			sv63						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	4.2	351.5	45.1	489	4	4	0			3.9939	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv63	sv63f1 : sv63h1 : sv63j1:sv63a1					
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.2569	Basalt	San Francisco Volcanics	248.0685	FS-LOC-GPS:SO-SM:FS-FD			sv64						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results. Direction included in Pmag_Results.	5.1	170.4	-51.6	172.4	6	6	0		r	5.971	0					San Francisco Volcanics		DE-FM:DE-BFL:LP-DC5			sv64	sv64c2 : sv64e1 : sv64g1 : sv64h1 : sv64i1:sv64b1					
2.5	2.5	Ma	This study	ND	ND	DE-SITE	VGP: Site sv64, Site VGP.	5.1	170.4	-51.6	172.4	6					5.971	0			35.2569		San Francisco Volcanics	248.0685	DE-DI:DE-FM:DE-BFL:LP-DC5		i	sv64	sv64c2 : sv64e1 : sv64g1 : sv64h1 : sv64i1:sv64b1	6.7	5.1	-81.5	320.1	6
2.5	2.5	Ma	This study																Igneous	Lava Flow	35.4088	Basalt	San Francisco Volcanics	248.5854	FS-LOC-GPS:SO-SM:FS-FD			sv65						
2.5	2.5	Ma	This study			DE-SPEC	Recalculated from original measurements; supercedes published results.	8.3	31	54.4	90.1	5	4	1			4.9611	0					San Francisco Volcanics		DE-FM-LP:DE-BFL:LP-DC5			sv65	sv65c1 : sv65d1 : sv65e1 : sv65g1:sv65a1					
