tab 	samples
azimuth	citations	criteria	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	orientation_quality	result_quality	sample	site	specimens
270	This study			-61									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06d	sv06	
275.6	This study			-56									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06e	sv06	
335.9	This study			-44									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06f	sv06	
	This study	DE-SPEC	sample direction.		357.8	-39.1	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv06f	sv06	sv06f1
288.1	This study			-44									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06g	sv06	
	This study		sample direction.		59.6	24	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-SUN:LP-DIR-AF			sv06g	sv06	sv06g1
271.5	This study			-73									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-POM:SO-SUN	g		sv06h	sv06	
	This study	DE-SPEC	sample direction.		344.7	-25.1	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-SUN:LP-DIR-AF			sv06h	sv06	sv06h1
318	This study			-57									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv06i	sv06	
291	This study			-10									Igneous	Lava Flow	35.192	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv06j	sv06	
248	This study			-12									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07a	sv07	
	This study	DE-SPEC	sample direction.		4.1	57.1	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv07a	sv07	sv07a1
215	This study			-52									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07b	sv07	
	This study	DE-SPEC	sample direction.		352.3	61.6	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv07b	sv07	sv07b1
180	This study			-62									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07c	sv07	
	This study	DE-SPEC	sample direction.		346.5	62.5	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv07c	sv07	sv07c1
225	This study			-38									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07d	sv07	
	This study	DE-SPEC	sample direction.		351.2	65.3	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv07d	sv07	sv07d1
236	This study			-39									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07e	sv07	
252	This study			-18									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07f	sv07	
	This study	DE-SPEC	sample direction.		344.1	60.2	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv07f	sv07	sv07f2
243	This study			-12									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07g	sv07	
	This study	DE-SPEC	sample direction.		341.2	59.3	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv07g	sv07	sv07g1
219	This study			-86									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07h	sv07	
258	This study			-53									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07i	sv07	
	This study	DE-SPEC	sample direction.		352.3	64.6	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv07i	sv07	sv07i1
215	This study			-59									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07j	sv07	
	This study		sample direction.		200.3	24.6	1	0	1			0						DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:LP-DIR-AF			sv07j	sv07	sv07j1
247	This study			-51									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07k	sv07	
193	This study			-42									Igneous	Lava Flow	35.194	Basalt	247.807	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv07l	sv07	
148.9	This study			-19									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08a	sv08	
	This study	DE-SPEC	sample direction.		173.5	-46.7	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv08a	sv08	sv08a1
49.2	This study			-27									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08b	sv08	
	This study	DE-SPEC	sample direction.		165	-38.2	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv08b	sv08	sv08b1
35.5	This study			-27									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08c	sv08	
	This study	DE-SPEC	sample direction.		164.7	-41.1	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv08c	sv08	sv08c1
160.4	This study			-14									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08d	sv08	
	This study	DE-SPEC	sample direction.		160.9	-48.9	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv08d	sv08	sv08d1
146.2	This study			-20									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08e	sv08	
	This study	DE-SPEC	sample direction.		171.2	-53.8	1	1	0			0						DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:LP-DIR-AF			sv08e	sv08	sv08e1
113.5	This study			-13									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08f	sv08	
177	This study			-19									Igneous	Lava Flow	35.17	Basalt	247.77	FS-FD:SO-CMD-NORTH:SO-POM:SO-MAG	g		sv08g	sv08	
