tab 	specimens
citations	description	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	specimen
This study	Recalculated from original measurements; supercedes published results.	352.3	64.6	1.2	13			0	LP-DIR-AF:sv07i1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv07i	sv07i1
This study	Recalculated from original measurements; supercedes published results.	200.3	24.6	5	13			0	LP-DIR-AF:sv07j1	Igneous	Lava Flow		Basalt	0.16	0	T	DA-DIR-GEO:DE-BFP:SO-CMD-NORTH:DE-BFP:LP-DIR-AF		sv07j	sv07j1
This study	Recalculated from original measurements; supercedes published results.	173.5	-46.7	1	7			0	LP-DIR-AF:sv08a1	Igneous	Lava Flow		Basalt	0.18	0.04	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv08a	sv08a1
This study	Recalculated from original measurements; supercedes published results.	165	-38.2	0.9	13			0	LP-DIR-AF:sv08b1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv08b	sv08b1
This study	Recalculated from original measurements; supercedes published results.	164.7	-41.1	0.7	7			0	LP-DIR-AF:sv08c1	Igneous	Lava Flow		Basalt	0.15	0.03	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv08c	sv08c1
This study	Recalculated from original measurements; supercedes published results.	160.9	-48.9	2.4	12			0	LP-DIR-AF:sv08d1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv08d	sv08d1
This study	Recalculated from original measurements; supercedes published results.	171.2	-53.8	1.2	13			0	LP-DIR-AF:sv08e1	Igneous	Lava Flow		Basalt	0.18	0.01	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv08e	sv08e1
This study	Recalculated from original measurements; supercedes published results.	169.4	-48.3	0.9	12			0	LP-DIR-AF:sv08g1	Igneous	Lava Flow		Basalt	0.18	0.02	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv08g	sv08g1
This study	Recalculated from original measurements; supercedes published results.	156.6	-44.8	2.7	7			0	LP-DIR-AF:sv08h1	Igneous	Lava Flow		Basalt	0.18	0.07	T	DA-DIR-GEO:DE-BFL:SO-CMD-NORTH:DE-BFL:LP-DIR-AF		sv08h	sv08h1
This study										Igneous	Lava Flow		Basalt						sv08h	sv08h3
