tab 	specimens
citations	dir_comp	dir_dec	dir_inc	dir_n_comps	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
this study:10.1038/s41586-021-03831-6	Fit 1	163.20762634277344	88.15357971191406	3.0	852.2459245924592	808.4515451545154	K	LP-DIR-T:DE-TROUT	PD151a5	PD151a5
this study:10.1038/s41586-021-03831-6	Fit 2	102.97686767578124	0.0768780037760734	3.0	830.8417841784178	669.005600560056	K	LP-DIR-T:DE-TROUT	PD152a2	PD152a2
this study:10.1038/s41586-021-03831-6	Fit 1	1.0525909662246704	84.24755859375	3.0	852.9419941994199	839.948694869487	K	LP-DIR-T:DE-TROUT	PD152a2	PD152a2
this study:10.1038/s41586-021-03831-6	Fit 2	98.42518615722656	-6.405509948730469	2.0	761.4668466846684	432.3999399939994	K	LP-DIR-T:DE-TROUT	PD184c4	PD184c4
this study:10.1038/s41586-021-03831-6	Fit 1	314.4734191894531	78.57140350341797	2.0	850.4477447744774	783.10301030103	K	LP-DIR-T:DE-TROUT	PD184c4	PD184c4
this study:10.1038/s41586-021-03831-6	Fit 2	81.86884307861328	2.919588088989258	3.0	790.3537353735373	746.7913791379137	K	LP-DIR-T:DE-TROUT	PD187a3	PD187a3
this study:10.1038/s41586-021-03831-6	Fit 1	66.85855102539062	85.90547180175781	3.0	852.9419941994199	814.6581658165817	K	LP-DIR-T:DE-TROUT	PD187a3	PD187a3
this study:10.1038/s41586-021-03831-6	Fit 2	88.55382537841797	3.2453150749206543	3.0	819.2406240624063	778.2885288528853	K	LP-DIR-T:DE-TROUT	PD189b3	PD189b3
this study:10.1038/s41586-021-03831-6	Fit 1	131.85755920410156	88.43276977539062	3.0	852.2459245924592	822.7209720972097	K	LP-DIR-T:DE-TROUT	PD189b3	PD189b3
this study:10.1038/s41586-021-03831-6	Fit 2	89.7464370727539	4.910019397735596	3.0	810.7717771777178	725.6192619261926	K	LP-DIR-T:DE-TROUT	PD190a2	PD190a2
this study:10.1038/s41586-021-03831-6	Fit 1	171.54766845703125	88.48431396484375	3.0	849.9836983698369	815.5282528252825	K	LP-DIR-T:DE-TROUT	PD190a2	PD190a2
this study:10.1038/s41586-021-03831-6	Fit 2	86.42707061767578	1.5862685441970823	3.0	805.8992899289929	728.2875287528752	K	LP-DIR-T:DE-TROUT	PD194b1	PD194b1
this study:10.1038/s41586-021-03831-6	Fit 1	111.6717758178711	87.38416290283203	3.0	847.8374837483748	813.2660266026603	K	LP-DIR-T:DE-TROUT	PD194b1	PD194b1
this study:10.1038/s41586-021-03831-6	Fit 2	90.3160629272461	-0.9171377420425416	3.0	799.982698269827	704.2731273127313	K	LP-DIR-T:DE-TROUT	PD195b1	PD195b1
this study:10.1038/s41586-021-03831-6	Fit 1	6.467697620391846	84.22745513916016	3.0	852.9419941994199	804.3331333133314	K	LP-DIR-T:DE-TROUT	PD195b1	PD195b1
this study:10.1038/s41586-021-03831-6	Fit 2	87.57733154296875	3.3478572368621826	3.0	790.1797179717971	679.5626562656266	K	LP-DIR-T:DE-TROUT	PD197a2	PD197a2
this study:10.1038/s41586-021-03831-6	Fit 1	122.17411041259766	84.32766723632812	3.0	850.2737273727373	798.5905590559056	K	LP-DIR-T:DE-TROUT	PD197a2	PD197a2
this study:10.1038/s41586-021-03831-6	Fit 2	92.64068603515624	-6.556203365325928	3.0	807.6394639463946	689.4236423642365	K	LP-DIR-T:DE-TROUT	PD199a6	PD199a6
this study:10.1038/s41586-021-03831-6	Fit 1	321.87994384765625	87.18679809570312	3.0	847.1414141414141	813.7300730073007	K	LP-DIR-T:DE-TROUT	PD199a6	PD199a6
this study:10.1038/s41586-021-03831-6	Fit 2	90.49051666259766	1.612949013710022	3.0	828.4635463546355	772.6619661966197	K	LP-DIR-T:DE-TROUT	PD200c1	PD200c1
this study:10.1038/s41586-021-03831-6	Fit 1	87.43949127197266	83.0636978149414	3.0	849.1136113611361	830.6677667766777	K	LP-DIR-T:DE-TROUT	PD200c1	PD200c1
this study:10.1038/s41586-021-03831-6	Fit 2	81.93817138671875	7.093244552612305	2.0	757.3484348434843	361.0528052805281	K	LP-DIR-T:DE-TROUT	PD202a2	PD202a2
this study:10.1038/s41586-021-03831-6	Fit 1	257.70855712890625	88.32147216796875	2.0	852.9419941994199	789.0776077607761	K	LP-DIR-T:DE-TROUT	PD202a2	PD202a2
this study:10.1038/s41586-021-03831-6	Fit 2	76.23310089111328	1.1201484203338623	3.0	792.8479847984798	674.980198019802	K	LP-DIR-T:DE-TROUT	PD206a1	PD206a1
this study:10.1038/s41586-021-03831-6	Fit 1	326.7659912109375	84.0887451171875	3.0	852.4779477947794	799.2866286628663	K	LP-DIR-T:DE-TROUT	PD206a1	PD206a1
this study:10.1038/s41586-021-03831-6	Fit 2	74.3428726196289	9.076171875	2.0	764.7731773177318	421.1468146814682	K	LP-DIR-T:DE-TROUT	PD208a4	PD208a4
this study:10.1038/s41586-021-03831-6	Fit 1	62.12643051147461	83.42439270019531	2.0	850.1577157715772	778.8685868586858	K	LP-DIR-T:DE-TROUT	PD208a4	PD208a4
this study:10.1038/s41586-021-03831-6	Fit 2	86.82622528076172	3.4526495933532715	3.0	748.3575357535753	622.020902090209	K	LP-DIR-T:DE-TROUT	PD212a3	PD212a3
this study:10.1038/s41586-021-03831-6	Fit 1	0.4865346550941467	86.11103057861328	3.0	852.5939593959396	782.8709870987099	K	LP-DIR-T:DE-TROUT	PD212a3	PD212a3
this study:10.1038/s41586-021-03831-6	Fit 2	80.28291320800781	6.619248867034912	3.0	825.969296929693	737.1624162416242	K	LP-DIR-T:DE-TROUT	PD236a2	PD236a2
this study:10.1038/s41586-021-03831-6	Fit 1	43.663944244384766	78.14251708984375	3.0	852.3039303930393	830.029702970297	K	LP-DIR-T:DE-TROUT	PD236a2	PD236a2
this study:10.1038/s41586-021-03831-6	Fit 2	99.72186279296876	6.365742206573486	3.0	807.5814581458146	677.7064706470646	K	LP-DIR-T:DE-TROUT	PD240a4	PD240a4
this study:10.1038/s41586-021-03831-6	Fit 1	344.0736389160156	78.48719024658203	3.0	852.9419941994199	817.7904790479048	K	LP-DIR-T:DE-TROUT	PD240a4	PD240a4
this study:10.1038/s41586-021-03831-6	Fit 2	86.85091400146484	-12.624551773071287	3.0			K	LP-DIR-T:DE-TROUT	PD242a4	PD242a4
this study:10.1038/s41586-021-03831-6	Fit 1	29.190059661865234	85.88058471679688	3.0	848.8815881588158	801.2588258825882	K	LP-DIR-T:DE-TROUT	PD242a4	PD242a4
this study:10.1038/s41586-021-03831-6	Fit 2	89.33613586425781	4.6211256980896	3.0	807.2914291429142	735.4802480248024	K	LP-DIR-T:DE-TROUT	PD243b3	PD243b3
this study:10.1038/s41586-021-03831-6	Fit 1	53.07769775390625	81.67949676513672	3.0	852.8259825982598	817.6164616461646	K	LP-DIR-T:DE-TROUT	PD243b3	PD243b3
this study:10.1038/s41586-021-03831-6	Fit 2	87.58492279052734	11.826592445373535	3.0	804.4491449144914	742.6729672967297	K	LP-DIR-T:DE-TROUT	PD244a7	PD244a7
this study:10.1038/s41586-021-03831-6	Fit 1	40.02354049682617	83.26902770996094	3.0	852.9419941994199	815.7022702270227	K	LP-DIR-T:DE-TROUT	PD244a7	PD244a7
